,Gemeinde,Energiequelle,Anzahl
0,Zürich,Gas,21618
1,Zürich,Keine,14204
2,Zürich,Heizöl,12647
3,Zürich,Weitere,12318
4,Basel,Weitere,10905
5,Winterthur,Unbestimmt,10902
6,Bellinzona,Unbestimmt,8747
7,Basel,Gas,8614
8,Bern,Gas,7396
9,Bern,Unbestimmt,6651
10,Winterthur,Heizöl,6487
11,Bern,Heizöl,5963
12,Bellinzona,Heizöl,5944
13,Winterthur,Gas,5824
14,St. Gallen,Unbestimmt,5647
15,Lugano,Heizöl,5437
16,Thun,Unbestimmt,5099
17,Glarus Süd,Unbestimmt,4922
18,Lugano,Unbestimmt,4755
19,Luzern,Gas,4754
20,St. Gallen,Gas,4691
21,Glarus Nord,Unbestimmt,4501
22,Biel/Bienne,Gas,4407
23,Neuchâtel,Unbestimmt,4274
24,Lausanne,Unbestimmt,4219
25,Köniz,Unbestimmt,4057
26,Genève,Heizöl,3975
27,La Chaux-de-Fonds,Unbestimmt,3938
28,Genève,Gas,3935
29,Lausanne,Gas,3897
30,Lausanne,Heizöl,3790
31,Schaffhausen,Unbestimmt,3774
32,St. Gallen,Heizöl,3732
33,Köniz,Weitere,3577
34,Schaffhausen,Gas,3540
35,Neckertal,Unbestimmt,3517
36,Muttenz,Keine,3472
37,Thun,Gas,3453
38,Thun,Heizöl,3421
39,Luzern,Unbestimmt,3387
40,Uster,Gas,3233
41,Uster,Unbestimmt,3136
42,Rapperswil-Jona,Unbestimmt,3106
43,Wädenswil,Unbestimmt,3083
44,Glarus,Unbestimmt,3081
45,Saanen,Unbestimmt,3067
46,Sion,Gas,3051
47,Anniviers,Unbestimmt,3019
48,Eschenbach (SG),Unbestimmt,3017
49,Frauenfeld,Unbestimmt,3003
50,Spiez,Unbestimmt,2905
51,Einsiedeln,Unbestimmt,2870
52,Horgen,Unbestimmt,2833
53,Davos,Unbestimmt,2810
54,Aarau,Unbestimmt,2794
55,Luzern,Heizöl,2774
56,Gibloux,Unbestimmt,2733
57,Schwarzenburg,Unbestimmt,2715
58,Steffisburg,Unbestimmt,2713
59,Glarus Nord,Heizöl,2712
60,Maggia,Unbestimmt,2709
61,Frutigen,Unbestimmt,2707
62,Neuchâtel,Gas,2697
63,Mels,Unbestimmt,2691
64,Grindelwald,Unbestimmt,2673
65,Basel,Keine,2673
66,Estavayer,Unbestimmt,2665
67,Oberriet (SG),Unbestimmt,2654
68,Val de Bagnes,Elektrizität,2653
69,Tafers,Unbestimmt,2634
70,Neuchâtel,Heizöl,2621
71,Chur,Gas,2619
72,Klosters,Unbestimmt,2616
73,Serravalle,Unbestimmt,2603
74,Köniz,Heizöl,2590
75,Altstätten,Unbestimmt,2585
76,Murten,Unbestimmt,2581
77,Mendrisio,Heizöl,2569
78,Nesslau,Unbestimmt,2562
79,Kriens,Unbestimmt,2562
80,Mendrisio,Unbestimmt,2560
81,Pratteln,Keine,2526
82,Dübendorf,Unbestimmt,2517
