Gemeinde,Bauperiode,Energiequelle,Anzahl,GebaeudeTotal
Zürich,8011.0,Gas,7002,13002
Zürich,8011.0,Heizöl,2086,13002
Zürich,8011.0,Keine,1949,13002
Zürich,8011.0,Weitere,1714,13002
Zürich,8011.0,Unbestimmt,217,13002
Zürich,8011.0,Elektrizität,34,13002
Zürich,8012.0,Gas,6599,15939
Zürich,8012.0,Heizöl,4179,15939
Zürich,8012.0,Weitere,2591,15939
Zürich,8012.0,Keine,2207,15939
Zürich,8012.0,Unbestimmt,342,15939
Zürich,8012.0,Elektrizität,21,15939
Zürich,8013.0,Heizöl,3711,12101
Zürich,8013.0,Gas,2932,12101
Zürich,8013.0,Weitere,2916,12101
Zürich,8013.0,Keine,2274,12101
Zürich,8013.0,Unbestimmt,248,12101
Zürich,8013.0,Elektrizität,20,12101
Basel,8012.0,Gas,3696,7561
Basel,8012.0,Weitere,2466,7561
Basel,8012.0,Heizöl,690,7561
Basel,8012.0,Keine,503,7561
Basel,8012.0,Unbestimmt,130,7561
Basel,8012.0,Elektrizität,76,7561
Basel,8011.0,Weitere,3272,7385
Basel,8011.0,Gas,2622,7385
Basel,8011.0,Keine,642,7385
Basel,8011.0,Heizöl,427,7385
Basel,8011.0,Unbestimmt,361,7385
Basel,8011.0,Elektrizität,61,7385
Bellinzona,8013.0,Unbestimmt,2917,5246
Bellinzona,8013.0,Heizöl,1284,5246
Bellinzona,8013.0,Elektrizität,632,5246
Bellinzona,8013.0,Weitere,306,5246
Bellinzona,8013.0,Keine,54,5246
Bellinzona,8013.0,Gas,53,5246
Anniviers,8011.0,Unbestimmt,2775,3457
Anniviers,8011.0,Weitere,238,3457
Anniviers,8011.0,Elektrizität,235,3457
Anniviers,8011.0,Keine,111,3457
Anniviers,8011.0,Heizöl,94,3457
Anniviers,8011.0,Gas,4,3457
Bern,8011.0,Gas,2718,6968
Bern,8011.0,Unbestimmt,2466,6968
Bern,8011.0,Heizöl,1159,6968
Bern,8011.0,Weitere,436,6968
Bern,8011.0,Elektrizität,136,6968
Bern,8011.0,Keine,53,6968
Winterthur,8011.0,Unbestimmt,2538,6191
Winterthur,8011.0,Gas,1414,6191
Winterthur,8011.0,Heizöl,1283,6191
Winterthur,8011.0,Weitere,683,6191
Winterthur,8011.0,Keine,164,6191
Winterthur,8011.0,Elektrizität,109,6191
Bern,8012.0,Gas,2430,5530
Bern,8012.0,Heizöl,1906,5530
Bern,8012.0,Unbestimmt,812,5530
Bern,8012.0,Weitere,289,5530
Bern,8012.0,Elektrizität,86,5530
Bern,8012.0,Keine,7,5530
Neuchâtel,8011.0,Unbestimmt,2073,4103
Neuchâtel,8011.0,Gas,950,4103
Neuchâtel,8011.0,Heizöl,895,4103
Neuchâtel,8011.0,Weitere,166,4103
Neuchâtel,8011.0,Elektrizität,18,4103
Neuchâtel,8011.0,Keine,1,4103
St. Gallen,8011.0,Gas,1997,5123
